driverId,driverRef,number,code,forename,surname,dob,nationality
1,lewis_hamilton,1,LEWHAM,Lewis,Hamilton,1996-09-24,Nationality_1
2,george_russell,2,GEORUS,George,Russell,1990-12-08,Nationality_2
3,max_verstappen,3,MAXVER,Max,Verstappen,1997-11-19,Nationality_3
4,sergio_perez,4,SERPER,Sergio,Perez,1990-08-03,Nationality_4
5,charles_leclerc,5,CHALEC,Charles,Leclerc,1992-01-27,Nationality_5
6,carlos_sainz,6,CARSAI,Carlos,Sainz,1994-10-07,Nationality_6
7,lando_norris,7,LANNOR,Lando,Norris,1998-12-07,Nationality_7
8,oscar_piastri,8,OSCPIA,Oscar,Piastri,1998-08-12,Nationality_8
9,fernando_alonso,9,FERALO,Fernando,Alonso,1991-01-16,Nationality_9
10,lance_stroll,10,LANSTR,Lance,Stroll,1996-07-24,Nationality_10
11,yuki_tsunoda,11,YUKTSU,Yuki,Tsunoda,1994-03-12,Nationality_11
12,daniel_ricciardo,12,DANRIC,Daniel,Ricciardo,1997-06-27,Nationality_12
13,valtteri_bottas,13,VALBOT,Valtteri,Bottas,1992-01-03,Nationality_13
14,zhou_guanyu,14,ZHOGUA,Zhou,Guanyu,1994-03-01,Nationality_14
15,kevin_magnussen,15,KEVMAG,Kevin,Magnussen,1994-10-23,Nationality_15
16,nico_hulkenberg,16,NICHUL,Nico,Hulkenberg,1996-11-09,Nationality_16
17,alexander_albon,17,ALEALB,Alexander,Albon,1992-07-17,Nationality_17
18,logan_sargeant,18,LOGSAR,Logan,Sargeant,1993-04-05,Nationality_18
19,esteban_ocon,19,ESTOCO,Esteban,Ocon,1996-07-13,Nationality_19
20,pierre_gasly,20,PIEGAS,Pierre,Gasly,1993-07-27,Nationality_20
