resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
1,1,6,3,6,2,1,1,1,25,50,88:04.303,5284301,21,5,1:20.036,207.55539183946183,1
2,1,4,2,4,3,2,2,2,18,68,76:37.815,4597385,25,3,1:19.403,203.6124594748044,1
3,1,12,6,12,11,3,3,3,15,66,93:26.967,5606420,45,6,1:21.103,206.9289641899395,1
4,1,2,1,2,14,4,4,4,12,67,90:58.705,5458179,44,16,1:21.956,185.71297163947264,1
5,1,19,10,19,14,5,5,5,10,65,69:43.915,4183625,17,7,1:23.194,180.9100547607716,1
6,1,1,1,1,19,6,6,6,8,63,85:30.669,5130728,47,6,1:24.364,237.93585965307895,1
7,1,3,2,3,1,7,7,7,6,64,71:52.959,4312180,42,5,1:24.828,199.4054928462522,1
8,1,10,5,10,17,8,8,8,4,61,103:18.219,6198699,39,14,1:33.372,199.37626403666312,1
9,1,17,9,17,17,9,9,9,2,63,73:28.180,4408350,40,3,1:21.699,210.13150603345065,1
10,1,11,6,11,3,10,10,10,1,67,64:46.792,3886884,51,3,1:17.871,215.54099589807217,1
11,1,8,4,8,2,11,11,11,0,66,73:01.103,4381422,42,9,1:14.810,227.79205656293183,1
12,1,9,5,9,3,12,12,12,0,67,80:52.920,4852683,33,13,1:22.827,235.57848687771923,1
13,1,5,3,5,20,13,13,13,0,50,85:19.775,5119664,55,16,1:22.653,277.05462981309444,1
14,1,14,7,14,2,14,14,14,0,68,66:39.664,3999606,31,17,1:18.691,215.17938440986535,1
15,1,7,4,7,12,15,15,15,0,61,66:32.004,3992411,48,4,1:10.773,208.52051733668003,1
16,1,13,7,13,3,16,16,16,0,57,85:34.819,5134582,25,13,1:20.369,186.96799304788365,1
17,1,15,8,15,19,17,17,17,0,54,76:51.473,4611702,32,9,1:09.907,203.72908629538856,1
18,1,18,9,18,15,18,18,18,0,51,61:39.095,3699925,57,8,1:13.236,193.30997528318102,1
19,1,16,8,16,12,19,19,19,0,65,70:58.434,4258097,46,14,1:21.219,233.0270197295898,1
20,1,20,10,20,16,20,20,20,0,65,83:35.340,5015364,48,4,1:22.288,215.49268106858673,1
21,2,3,2,3,7,1,1,1,25,54,84:36.779,5076969,58,13,1:16.278,207.65598934301573,1
22,2,1,1,1,17,2,2,2,18,69,85:45.879,5145387,34,13,1:17.698,205.23246111944934,1
23,2,4,2,4,19,3,3,3,15,64,94:15.143,5655254,14,3,1:21.395,197.50949504812633,1
24,2,6,3,6,16,4,4,4,12,56,75:59.108,4559304,51,7,1:26.397,176.06679061572956,1
25,2,5,3,5,11,5,5,5,10,67,69:32.750,4172994,21,9,1:09.073,235.40863033133436,1
26,2,2,1,2,7,6,6,6,8,63,73:44.652,4424769,49,10,1:20.392,201.6546087160096,1
27,2,20,10,20,5,7,7,7,6,55,74:30.338,4470959,17,16,1:22.364,217.45083182860958,1
28,2,9,5,9,13,8,8,8,4,53,80:03.803,4803219,15,19,1:25.444,190.45236538849358,1
29,2,8,4,8,19,9,9,9,2,56,85:56.125,5156084,12,13,1:27.652,182.41064319506486,1
30,2,12,6,12,8,10,10,10,1,58,100:18.934,6018092,10,3,1:27.972,161.70185260780954,1
31,2,18,9,18,1,11,11,11,0,55,85:01.116,5101884,15,12,1:17.684,171.6007673401662,1
32,2,11,6,11,5,12,12,12,0,53,80:20.226,4820895,28,20,1:20.440,219.6700861271693,1
33,2,10,5,10,15,13,13,13,0,50,95:56.372,5756864,12,16,1:31.470,208.12453370099857,1
34,2,17,9,17,4,14,14,14,0,57,86:24.697,5184093,59,5,1:30.040,183.83403429289697,1
35,2,7,4,7,9,15,15,15,0,50,86:13.723,5173286,22,16,1:18.924,166.79765158887335,1
36,2,14,7,14,15,16,16,16,0,51,71:26.009,4286847,39,18,1:19.250,212.97786482507098,1
37,2,15,8,15,17,17,17,17,0,60,91:37.852,5497420,35,17,1:25.460,190.6164869579059,1
38,2,13,7,13,5,18,18,18,0,55,72:59.770,4379044,32,5,1:21.564,190.31248616061393,1
39,2,16,8,16,1,19,19,19,0,68,82:21.684,4941397,22,4,1:18.445,168.01753054925035,1
40,2,19,10,19,8,20,20,20,0,56,69:25.153,4165666,43,3,1:21.890,209.88818574499658,1
41,3,6,3,6,19,1,1,1,25,54,91:05.465,5465856,37,10,1:20.828,207.05919951077803,1
42,3,4,2,4,9,2,2,2,18,61,72:13.345,4333727,55,2,1:20.944,190.2271982922384,1
43,3,2,1,2,15,3,3,3,15,64,86:49.055,5209770,39,11,1:29.830,200.70527103943456,1
44,3,1,1,1,14,4,4,4,12,63,86:17.215,5177001,11,13,1:20.665,200.7127091970091,1
45,3,5,3,5,11,5,5,5,10,64,87:01.507,5221615,54,18,1:22.505,206.22500309087073,1
46,3,11,6,11,10,6,6,6,8,56,66:44.952,4004162,26,7,1:14.085,166.81816823224688,1
47,3,12,6,12,13,7,7,7,6,69,83:44.024,5024835,13,10,1:16.066,192.9842150965426,1
48,3,8,4,8,15,8,8,8,4,51,69:21.622,4161002,17,8,1:18.368,243.45684590746612,1
49,3,9,5,9,6,9,9,9,2,69,62:57.281,3777956,43,13,1:09.965,221.34912344469504,1
50,3,19,10,19,6,10,10,10,1,65,66:55.515,4015393,39,11,1:13.445,211.25938473381143,1
51,3,20,10,20,3,11,11,11,0,68,73:19.542,4399710,49,5,1:15.547,189.09661601336313,1
52,3,10,5,10,6,12,12,12,0,66,89:35.605,5375194,47,19,1:23.573,202.90408120570916,1
53,3,7,4,7,19,13,13,13,0,62,76:28.299,4588309,14,6,1:20.409,215.0277424674358,1
54,3,13,7,13,20,14,14,14,0,66,63:29.139,3809185,56,1,1:16.089,163.9023579867096,1
55,3,18,9,18,4,15,15,15,0,62,78:55.258,4735958,42,6,1:18.689,202.77015924776885,1
56,3,17,9,17,12,16,16,16,0,51,88:49.012,5329777,49,2,1:30.595,161.10121419258502,1
57,3,3,2,3,9,17,17,17,0,60,92:35.910,5555778,33,6,1:24.418,177.40586290684763,1
58,3,14,7,14,18,18,18,18,0,63,84:16.884,5056006,20,9,1:22.929,195.93909227914014,1
59,3,16,8,16,11,19,19,19,0,58,78:19.228,4699092,23,3,1:22.724,231.60268190150404,1
60,3,15,8,15,4,20,20,20,0,62,80:59.041,4859267,34,18,1:17.295,186.3851145085889,1
61,4,1,1,1,14,1,1,1,25,60,79:03.395,4743108,35,13,1:14.615,186.39476825612184,1
62,4,17,9,17,8,2,2,2,18,60,98:22.459,5902640,53,4,1:32.323,202.58442363950456,1
63,4,2,1,2,19,3,3,3,15,63,83:09.295,4989441,50,11,1:26.406,213.44850037790187,1
64,4,19,10,19,4,4,4,4,12,50,82:16.830,4936278,49,15,1:18.660,190.59437106541114,1
65,4,11,6,11,20,5,5,5,10,58,85:32.802,5132163,34,11,1:26.805,186.192014313965,1
66,4,10,5,10,17,6,6,6,8,60,62:31.954,3751059,53,19,1:13.181,174.0984245587277,1
